time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
0.00000000,0.02382601,0.00538344,0.01700000,0.81431203,0.21923656,0.78610106
0.09999990,0.02196915,0.00381003,0.00600000,0.80166128,0.22100689,0.77908511
0.20000005,0.00640734,0.01491060,0.01800000,0.72268498,0.23388386,0.77917777
0.29999995,0.01380964,0.01806721,0.01600000,0.78591134,0.23645197,0.76737487
0.40000010,0.01273116,0.02322407,0.00200000,0.77515747,0.25176838,0.74967361
0.50000000,0.01427971,0.01736980,0.00600000,0.77133385,0.23584112,0.77405274
0.59999990,0.01349775,0.01910551,0.00600000,0.75168794,0.24395717,0.77933547
0.70000005,0.01129909,0.01419227,0.03200000,0.77102707,0.23664191,0.85063735
0.80100012,0.01214774,0.01281220,0.04100000,0.77127004,0.23490807,0.83564024
0.90100002,0.00995276,0.01548685,0.04800000,0.70977258,0.23678407,0.85699534
1.00099993,0.01295237,0.01167074,0.04700000,0.78099767,0.23688007,0.86923200
1.10100007,0.01229454,0.01274301,0.04500000,0.78651609,0.23738092,0.86720605
1.20099998,0.00814504,0.01367144,0.03300000,0.72807325,0.24172495,0.86273402
1.30100012,0.00150584,0.01270994,0.00900000,0.71729515,0.23627246,0.78415879
1.40100002,0.00495296,0.01336818,0.00600000,0.71155280,0.23395615,0.77409158
1.50099993,0.00271434,0.01206989,0.00900000,0.72028350,0.23610870,0.77479513
1.60100007,0.00081928,0.01359334,0.00900000,0.71436951,0.23121684,0.77675301
1.70099998,0.01146641,0.01441150,0.00200000,0.71731330,0.23633485,0.76681984
1.80100012,0.00232895,0.01437275,0.01900000,0.70067533,0.23967683,0.79607672
1.90100002,0.00262512,0.01568180,0.01700000,0.69317421,0.24364648,0.72768312
2.00099993,0.00361597,0.01487699,0.00400000,0.67596104,0.23367505,0.71377204
2.10100007,0.00762943,0.01733325,0.01000000,0.68447894,0.23437214,0.69718474
2.20099998,0.00951073,0.01738580,0.00900000,0.70171534,0.23304982,0.68258924
2.30100012,0.00371924,0.01651234,0.00500000,0.70646500,0.22916803,0.66759437
2.40100002,0.00030350,0.01844147,0.00700000,0.73298696,0.23076538,0.69310123
2.50099993,0.00439964,0.01978417,0.00600000,0.75298890,0.23561461,0.70309237
2.60100007,0.00706134,0.02153642,0.00400000,0.72187928,0.25057311,0.70763399
2.70099998,0.00530392,0.02064869,0.00500000,0.69412104,0.24668808,0.73169989
2.80100012,0.01214111,0.01721085,0.01100000,0.67564527,0.22391556,0.73734369
2.90100002,0.01291117,0.01620993,0.02200000,0.71310714,0.21710575,0.78381922
3.00099993,0.00721814,0.02033073,0.02800000,0.63739247,0.23884585,0.77903942
3.10100007,0.00323168,0.02138519,0.01700000,0.62750679,0.23590345,0.72740737
3.20099998,0.00475613,0.01571557,0.01300000,0.63332951,0.21445862,0.72046223
3.30100012,0.00756838,0.01778200,0.01300000,0.68449729,0.21730819,0.74441408
3.40199995,0.00971271,0.02182919,0.01400000,0.68340657,0.23870927,0.75920406
3.50200009,0.01420186,0.02162307,0.01300000,0.74384262,0.24082822,0.80477550
3.60200000,0.01557036,0.02180284,0.01100000,0.74851677,0.23906744,0.75838396
3.70199990,0.01904535,0.02060108,0.00800000,0.76123291,0.23496070,0.77102147
3.80200005,0.01680072,0.02169668,0.00500000,0.72849766,0.24232700,0.73736817
3.90199995,0.01765492,0.02850971,0.00200000,0.71168530,0.25235651,0.77059660
4.00200009,0.01123509,0.02473404,0.01800000,0.69672157,0.25314710,0.76841036
4.10200000,0.00947899,0.02203472,0.02300000,0.61435400,0.24736674,0.78236780
4.20199990,0.01557791,0.02075329,0.02300000,0.66116251,0.24284869,0.78769126
4.30200005,0.02287271,0.02384867,0.01700000,0.66459437,0.24087362,0.78121256
4.40199995,0.02567229,0.02691344,0.02000000,0.70102074,0.24781142,0.77815969
4.50200009,0.02216125,0.02790141,0.01300000,0.69291917,0.24572437,0.74473973
4.60200000,0.01779452,0.02639782,0.01300000,0.67788484,0.24578721,0.74135765
4.70199990,0.01567201,0.02426248,0.01000000,0.70027592,0.24835788,0.73740406
4.80200005,0.01567878,0.02099466,0.02600000,0.72933834,0.25051848,0.80883192
4.90199995,0.01840261,0.01925835,0.04000000,0.71112336,0.24323342,0.84080588
5.00200009,0.01267931,0.02055542,0.03700000,0.72642277,0.24493440,0.83978709
5.10200000,0.00814679,0.01293174,0.02700000,0.67024788,0.23388746,0.82985783
5.20199990,0.00168337,0.01472298,0.02800000,0.68741286,0.23328084,0.83614694
5.30200005,0.00267490,0.01547691,0.02500000,0.68022028,0.23049779,0.83287369
5.40199995,0.01049108,0.01031199,0.02700000,0.70871558,0.22351760,0.85962606
5.50200009,0.01096325,0.00570063,0.01500000,0.69110068,0.22195281,0.76776585
5.60200000,0.01252236,0.00260970,0.01700000,0.67342067,0.22075067,0.77234096
5.70300007,0.00662146,0.00272144,0.00200000,0.63097142,0.22483599,0.75703653
5.80299997,0.00109952,0.00116664,0.00900000,0.64541132,0.22282027,0.72777949
5.90300012,0.00154279,0.00275496,0.00400000,0.64906641,0.22977510,0.73120059
