Timestamp,Subsets,TimeTaken(s),XPL(m),YPL(m),VPL(m)
1679304413.314000,9147,1.41902,0.030800,0.054731,0.045130
1679304413.514000,1562,0.839878,0.029161,0.051789,0.044419
1679304413.814000,24472,16.9641,0.029341,0.050587,0.041792
1679304414.014000,73319,123.573,0.031038,0.052144,0.042176
1679304414.114000,25641,47.043,0.032292,0.053760,0.041871
1679304414.314000,12136,33.0937,0.035262,0.057440,0.042538
1679304414.614000,17342,48.6566,0.036589,0.055023,0.044109
1679304414.814000,17917,69.5991,0.037146,0.052559,0.047047
1679304415.014000,10004,40.3394,0.041877,0.056586,0.046760
1679304415.214000,8684,33.2497,0.041768,0.053573,0.046906
1679304415.314000,1549,5.52237,0.040444,0.050452,0.045546
1679304415.614000,9548,28.8599,0.041591,0.049605,0.052949
1679304415.814000,3854,10.6538,0.040995,0.047605,0.051932
1679304415.914000,4699,9.28818,0.045967,0.051004,0.048653
1679304416.114000,3334,6.2769,0.052457,0.056328,0.044814
1679304416.414000,12358,30.764,0.054911,0.058442,0.051968
1679304416.614000,9913,17.2877,0.033956,0.039498,0.051773
1679304416.814000,10577,19.1101,0.033313,0.038754,0.051033
1679304416.914000,1556,3.09275,0.031317,0.036014,0.047402
1679304417.114000,617,1.21763,0.030407,0.034771,0.043014
1679304417.414000,9082,17.4974,0.031279,0.037632,0.049886
1679304417.614000,7723,15.7756,0.030809,0.037347,0.049408
1679304417.814000,28598,71.0738,0.029869,0.036415,0.049326
1679304418.014000,31280,81.5095,0.029406,0.036258,0.049718
1679304418.114000,5139,14.2318,0.029508,0.036118,0.047252
1679304418.414000,69876,223.071,0.026944,0.033203,0.045132
1679304418.614000,96773,396.838,0.025969,0.032250,0.044952
1679304418.814000,9498,64.9805,0.024422,0.030693,0.042574
1679304419.014000,45544,816.733,0.023090,0.029374,0.040939
1679304419.114000,6520,307.238,0.023183,0.029280,0.041347
1679304419.314000,64756,3573.28,0.512522,0.588864,0.044902
