# time, num_meas, N_fault_max, subsetsize, num_residual, num_state_vars
1679304413.314000 46 5 1550201 427 303
1679304413.814000 53 5 3187368 737 429
1679304414.314000 54 5 3505051 1158 546
1679304414.814000 56 5 4216423 1365 633
1679304415.314000 35 4 59536 1358 639
1679304415.914000 31 4 36457 1313 645
1679304416.414000 41 4 112792 1359 690
1679304416.914000 27 4 20854 1284 675
1679304417.614000 43 5 1099296 1341 711
1679304418.114000 45 5 1385980 1428 696
1679304418.614000 52 5 2893164 1574 693
1679304419.114000 61 5 6508884 1831 678
1679304419.614000 55 5 3847592 1912 669
1679304420.214000 57 5 4613030 1878 660
1679304420.714000 56 5 4216423 1850 636
1679304421.214000 55 5 3847592 1841 612
1679304421.814000 56 5 4216423 1838 660
1679304422.314000 60 5 5985198 1868 717
1679304422.814000 55 5 3847592 1902 765
1679304423.314000 48 5 1925357 1830 774
1679304423.814000 46 5 1550201 1654 726
1679304424.314000 41 4 112792 1539 705
1679304424.914000 38 4 82993 1479 705
1679304425.414000 43 5 1099296 1483 723
1679304425.914000 33 4 46938 1461 768
1679304426.414000 32 4 41449 1435 768
1679304427.014000 51 5 2621112 1518 783
1679304427.614000 38 4 82993 1483 762
1679304428.114000 39 4 92171 1485 780
1679304428.614000 32 4 41449 1381 717
1679304429.314000 39 4 92171 1396 741
1679304429.914000 39 4 92171 1416 744
1679304430.414000 31 4 36457 1326 702
1679304430.914000 34 4 52956 1385 753
1679304431.514000 41 4 112792 1415 753
1679304432.114000 36 4 66712 1458 753
1679304432.614000 31 4 36457 1393 735
1679304433.114000 32 4 41449 1403 771
1679304433.614000 37 4 74519 1348 786
1679304434.114000 34 4 52956 1381 774
1679304434.714000 43 5 1099296 1422 804
1679304435.214000 36 4 66712 1438 777
1679304435.714000 29 4 27841 1454 735
1679304436.214000 36 4 66712 1364 747
1679304436.714000 45 5 1385980 1453 774
1679304437.214000 31 4 36457 1557 804
1679304437.714000 39 4 92171 1534 804
1679304438.214000 39 4 92171 1516 780
1679304438.714000 35 4 59536 1559 774
1679304439.214000 44 5 1235994 1575 792
1679304439.814000 40 4 102091 1545 774
1679304440.414000 34 4 52956 1578 807
1679304440.914000 22 4 9109 1377 729
1679304441.414000 40 4 102091 1455 804
1679304441.914000 31 4 36457 1374 744
1679304442.514000 27 4 20854 1292 717
1679304443.114000 31 4 36457 1239 714
1679304443.614000 25 4 15276 1240 672
1679304444.314000 45 5 1385980 1214 699
1679304444.814000 34 4 52956 1256 672
1679304445.314000 38 4 82993 1245 687
1679304445.914000 43 5 1099296 1495 735
1679304446.414000 47 5 1729648 1607 759
1679304446.914000 48 5 1925357 1629 735
1679304447.414000 42 5 974982 1499 705
1679304447.914000 49 5 2138410 1638 765
1679304448.514000 47 5 1729648 1724 813
1679304449.014000 42 5 974982 1667 810
1679304449.514000 46 5 1550201 1546 762
1679304450.014000 35 4 59536 1566 759
1679304450.614000 43 5 1099296 1598 795
