# time, num_meas, N_fault_max, subsetsize, num_residual, num_state_vars
1679304413.314000 46 6 10917020 427 303
1679304413.814000 53 6 26144848 737 429
1679304414.314000 54 6 29332216 1158 546
1679304414.814000 56 6 36684859 1365 633
1679304415.314000 35 6 2007328 1358 639
1679304415.914000 31 5 206368 1313 645
1679304416.414000 41 6 5358578 1359 690
1679304416.914000 27 5 101584 1284 675
1679304417.614000 43 6 7195750 1341 711
1679304418.114000 45 6 9531040 1428 696
1679304418.614000 52 6 23251684 1574 693
1679304419.114000 61 6 62034256 1831 678
1679304419.614000 55 6 32837267 1912 669
1679304420.214000 57 6 40901282 1878 660
1679304420.714000 56 6 36684859 1850 636
1679304421.214000 55 6 32837267 1841 612
1679304421.814000 56 6 36684859 1838 660
1679304422.314000 60 6 56049058 1868 717
1679304422.814000 55 6 32837267 1902 765
1679304423.314000 48 6 14196869 1830 774
1679304423.814000 46 6 10917020 1654 726
1679304424.314000 41 6 5358578 1539 705
1679304424.914000 38 6 3345616 1479 705
1679304425.414000 43 6 7195750 1483 723
1679304425.914000 33 6 1391842 1461 768
1679304426.414000 32 5 242825 1435 768
1679304427.014000 51 6 20630572 1518 783
1679304427.614000 38 6 3345616 1483 762
1679304428.114000 39 6 3930551 1485 780
1679304428.614000 32 5 242825 1381 717
1679304429.314000 39 6 3930551 1396 741
1679304429.914000 39 6 3930551 1416 744
1679304430.414000 31 5 206368 1326 702
1679304430.914000 34 6 1676116 1385 753
1679304431.514000 41 6 5358578 1415 753
1679304432.114000 36 6 2391496 1458 753
1679304432.614000 31 5 206368 1393 735
1679304433.114000 32 5 242825 1403 771
1679304433.614000 37 6 2835200 1348 786
1679304434.114000 34 6 1676116 1381 774
1679304434.714000 43 6 7195750 1422 804
1679304435.214000 36 6 2391496 1438 777
1679304435.714000 29 5 146596 1454 735
1679304436.214000 36 6 2391496 1364 747
1679304436.714000 45 6 9531040 1453 774
1679304437.214000 31 5 206368 1557 804
1679304437.714000 39 6 3930551 1534 804
1679304438.214000 39 6 3930551 1516 780
1679304438.714000 35 6 2007328 1559 774
1679304439.214000 44 6 8295046 1575 792
1679304439.814000 40 6 4598479 1545 774
1679304440.414000 34 6 1676116 1578 807
1679304440.914000 22 5 35443 1377 729
1679304441.414000 40 6 4598479 1455 804
1679304441.914000 31 5 206368 1374 744
1679304442.514000 27 5 101584 1292 717
1679304443.114000 31 5 206368 1239 714
1679304443.614000 25 5 68406 1240 672
1679304444.314000 45 6 9531040 1214 699
1679304444.814000 34 6 1676116 1256 672
1679304445.314000 38 6 3345616 1245 687
1679304445.914000 43 6 7195750 1495 735
1679304446.414000 47 6 12467221 1607 759
1679304446.914000 48 6 14196869 1629 735
1679304447.414000 42 6 6220768 1499 705
