Jacobian Analysis: 427x303 (where * is the current frame)
Row Range      Col Range      Residual(LmkID/ImuerrorID)                   Parameter(ID & Type)                    Block Size     Max Val        
-------------------------------------------------------------------------------------------------------------------
[0,1]          [0,5]          140735206973520 (ReprojectionError)          4734976 (cPose)                         2x6            25.0257        
[0,1]          [195,197]      140735206973520 (ReprojectionError)          288230376151711799 (cLandmark)*         2x3            1.09215        
[2,3]          [0,5]          140735207044640 (ReprojectionError)          4734976 (cPose)                         2x6            12.3009        
[2,3]          [231,233]      140735207044640 (ReprojectionError)          288230376151712212 (cLandmark)*         2x3            1.55814        
[4,5]          [0,5]          140735207042304 (ReprojectionError)          4734976 (cPose)                         2x6            47.9368        
[4,5]          [228,230]      140735207042304 (ReprojectionError)          288230376151712165 (cLandmark)*         2x3            2.07613        
[6,7]          [0,5]          140735207039968 (ReprojectionError)          4734976 (cPose)                         2x6            50.6495        
[6,7]          [225,227]      140735207039968 (ReprojectionError)          288230376151712160 (cLandmark)*         2x3            2.05673        
[8,9]          [0,5]          140735207037632 (ReprojectionError)          4734976 (cPose)                         2x6            52.5454        
[8,9]          [222,224]      140735207037632 (ReprojectionError)          288230376151712146 (cLandmark)*         2x3            3.19409        
[10,11]        [0,5]          140735207035296 (ReprojectionError)          4734976 (cPose)                         2x6            25.8466        
[10,11]        [219,221]      140735207035296 (ReprojectionError)          288230376151712128 (cLandmark)*         2x3            1.54062        
[12,13]        [0,5]          140735207032960 (ReprojectionError)          4734976 (cPose)                         2x6            25.1777        
[12,13]        [216,218]      140735207032960 (ReprojectionError)          288230376151712091 (cLandmark)*         2x3            1.28244        
[14,15]        [0,5]          140735207030624 (ReprojectionError)          4734976 (cPose)                         2x6            50.8793        
[14,15]        [213,215]      140735207030624 (ReprojectionError)          288230376151712023 (cLandmark)*         2x3            1.98774        
[16,17]        [0,5]          140735206985200 (ReprojectionError)          4734976 (cPose)                         2x6            52.954         
[16,17]        [210,212]      140735206985200 (ReprojectionError)          288230376151711838 (cLandmark)*         2x3            1.70976        
[18,19]        [0,5]          140735206982864 (ReprojectionError)          4734976 (cPose)                         2x6            26.4164        
[18,19]        [207,209]      140735206982864 (ReprojectionError)          288230376151711831 (cLandmark)*         2x3            1.55015        
[20,21]        [0,5]          140735206980528 (ReprojectionError)          4734976 (cPose)                         2x6            50.6203        
[20,21]        [204,206]      140735206980528 (ReprojectionError)          288230376151711828 (cLandmark)*         2x3            2.45942        
[22,23]        [0,5]          140735206978192 (ReprojectionError)          4734976 (cPose)                         2x6            50.4668        
[22,23]        [201,203]      140735206978192 (ReprojectionError)          288230376151711827 (cLandmark)*         2x3            1.89415        
[24,25]        [0,5]          140735206957424 (ReprojectionError)          4734976 (cPose)                         2x6            51.9052        
[24,25]        [234,236]      140735206957424 (ReprojectionError)          288230376151712227 (cLandmark)*         2x3            2.45921        
[26,27]        [0,5]          140735206971184 (ReprojectionError)          4734976 (cPose)                         2x6            51.337         
[26,27]        [192,194]      140735206971184 (ReprojectionError)          288230376151711797 (cLandmark)*         2x3            2.41699        
[28,29]        [0,5]          140735206968848 (ReprojectionError)          4734976 (cPose)                         2x6            49.7729        
[28,29]        [189,191]      140735206968848 (ReprojectionError)          288230376151711794 (cLandmark)*         2x3            2.32942        
[30,31]        [0,5]          140735206966512 (ReprojectionError)          4734976 (cPose)                         2x6            51.7018        
[30,31]        [186,188]      140735206966512 (ReprojectionError)          288230376151711777 (cLandmark)*         2x3            2.23868        
[32,33]        [0,5]          140735206963152 (ReprojectionError)          4734976 (cPose)                         2x6            13.2335        
[32,33]        [183,185]      140735206963152 (ReprojectionError)          288230376151711770 (cLandmark)*         2x3            0.369706       
[34,35]        [0,5]          140735206960816 (ReprojectionError)          4734976 (cPose)                         2x6            12.5317        
[34,35]        [180,182]      140735206960816 (ReprojectionError)          288230376151711766 (cLandmark)*         2x3            0.554493       
[36,37]        [0,5]          140735206693728 (ReprojectionError)          4734976 (cPose)                         2x6            25.2892        
[36,37]        [177,179]      140735206693728 (ReprojectionError)          288230376151711758 (cLandmark)*         2x3            1.07776        
[38,39]        [0,5]          140735206668320 (ReprojectionError)          4734976 (cPose)                         2x6            12.6246        
[38,39]        [174,176]      140735206668320 (ReprojectionError)          288230376151711753 (cLandmark)*         2x3            0.462387       
[40,41]        [0,5]          140735206673408 (ReprojectionError)          4734976 (cPose)                         2x6            12.2839        
[40,41]        [171,173]      140735206673408 (ReprojectionError)          288230376151711751 (cLandmark)*         2x3            0.534629       
[42,43]        [0,5]          140735206991680 (ReprojectionError)          4734976 (cPose)                         2x6            50.4753        
[42,43]        [168,170]      140735206991680 (ReprojectionError)          288230376151711750 (cLandmark)*         2x3            2.75108        
[44,45]        [0,5]          140735206987408 (ReprojectionError)          4734976 (cPose)                         2x6            12.3507        
[44,45]        [165,167]      140735206987408 (ReprojectionError)          288230376151711749 (cLandmark)*         2x3            1.70204        
[46,47]        [0,5]          140735207074944 (ReprojectionError)          4734976 (cPose)                         2x6            12.9664        
[46,47]        [267,269]      140735207074944 (ReprojectionError)          288230376151712312 (cLandmark)*         2x3            1.6133         
[48,49]        [0,5]          140735207107856 (ReprojectionError)          4734976 (cPose)                         2x6            50.6006        
[48,49]        [300,302]      140735207107856 (ReprojectionError)          288230376151712373 (cLandmark)*         2x3            2.33784        
[50,51]        [0,5]          140735207105520 (ReprojectionError)          4734976 (cPose)                         2x6            52.0458        
[50,51]        [297,299]      140735207105520 (ReprojectionError)          288230376151712367 (cLandmark)*         2x3            2.18546        
[52,53]        [0,5]          140735207103184 (ReprojectionError)          4734976 (cPose)                         2x6            50.0753        
[52,53]        [294,296]      140735207103184 (ReprojectionError)          288230376151712354 (cLandmark)*         2x3            2.14011        
[54,55]        [0,5]          140735207100848 (ReprojectionError)          4734976 (cPose)                         2x6            23.7308        
[54,55]        [291,293]      140735207100848 (ReprojectionError)          288230376151712352 (cLandmark)*         2x3            4.0536         
[56,57]        [0,5]          140735207096448 (ReprojectionError)          4734976 (cPose)                         2x6            22.9147        
[56,57]        [288,290]      140735207096448 (ReprojectionError)          288230376151712350 (cLandmark)*         2x3            4.50505        
[58,59]        [0,5]          140735207089984 (ReprojectionError)          4734976 (cPose)                         2x6            51.6253        
[58,59]        [285,287]      140735207089984 (ReprojectionError)          288230376151712335 (cLandmark)*         2x3            2.12812        
[60,61]        [0,5]          140735207087648 (ReprojectionError)          4734976 (cPose)                         2x6            12.9214        
[60,61]        [282,284]      140735207087648 (ReprojectionError)          288230376151712325 (cLandmark)*         2x3            1.84082        
[62,63]        [0,5]          140735207085312 (ReprojectionError)          4734976 (cPose)                         2x6            13.1994        
[62,63]        [279,281]      140735207085312 (ReprojectionError)          288230376151712322 (cLandmark)*         2x3            0.430789       
[64,65]        [0,5]          140735207082976 (ReprojectionError)          4734976 (cPose)                         2x6            24.3474        
[64,65]        [276,278]      140735207082976 (ReprojectionError)          288230376151712321 (cLandmark)*         2x3            3.02545        
[66,67]        [0,5]          140735207080640 (ReprojectionError)          4734976 (cPose)                         2x6            12.6302        
[66,67]        [273,275]      140735207080640 (ReprojectionError)          288230376151712319 (cLandmark)*         2x3            0.745523       
[68,69]        [0,5]          140735207078304 (ReprojectionError)          4734976 (cPose)                         2x6            50.5408        
[68,69]        [270,272]      140735207078304 (ReprojectionError)          288230376151712316 (cLandmark)*         2x3            2.20221        
[70,71]        [0,5]          140735206975856 (ReprojectionError)          4734976 (cPose)                         2x6            25.0433        
[70,71]        [198,200]      140735206975856 (ReprojectionError)          288230376151711807 (cLandmark)*         2x3            1.05293        
[72,73]        [0,5]          140735207072608 (ReprojectionError)          4734976 (cPose)                         2x6            23.8263        
[72,73]        [264,266]      140735207072608 (ReprojectionError)          288230376151712306 (cLandmark)*         2x3            1.02081        
[74,75]        [0,5]          140735207070272 (ReprojectionError)          4734976 (cPose)                         2x6            12.5941        
[74,75]        [261,263]      140735207070272 (ReprojectionError)          288230376151712305 (cLandmark)*         2x3            0.603892       
[76,77]        [0,5]          140735207067936 (ReprojectionError)          4734976 (cPose)                         2x6            47.9802        
[76,77]        [258,260]      140735207067936 (ReprojectionError)          288230376151712298 (cLandmark)*         2x3            2.0832         
[78,79]        [0,5]          140735207065600 (ReprojectionError)          4734976 (cPose)                         2x6            26.0423        
[78,79]        [255,257]      140735207065600 (ReprojectionError)          288230376151712264 (cLandmark)*         2x3            0.843808       
[80,81]        [0,5]          140735207063264 (ReprojectionError)          4734976 (cPose)                         2x6            52.4793        
[80,81]        [252,254]      140735207063264 (ReprojectionError)          288230376151712262 (cLandmark)*         2x3            2.7497         
[82,83]        [0,5]          140735207060928 (ReprojectionError)          4734976 (cPose)                         2x6            24.1661        
[82,83]        [249,251]      140735207060928 (ReprojectionError)          288230376151712251 (cLandmark)*         2x3            3.98816        
[84,85]        [0,5]          140735207058592 (ReprojectionError)          4734976 (cPose)                         2x6            23.7921        
[84,85]        [246,248]      140735207058592 (ReprojectionError)          288230376151712250 (cLandmark)*         2x3            4.17054        
[86,87]        [0,5]          140735207056256 (ReprojectionError)          4734976 (cPose)                         2x6            23.5989        
[86,87]        [243,245]      140735207056256 (ReprojectionError)          288230376151712245 (cLandmark)*         2x3            0.927452       
[88,89]        [0,5]          140735207053920 (ReprojectionError)          4734976 (cPose)                         2x6            25.9552        
[88,89]        [240,242]      140735207053920 (ReprojectionError)          288230376151712243 (cLandmark)*         2x3            1.26577        
[90,91]        [0,5]          140735207051584 (ReprojectionError)          4734976 (cPose)                         2x6            13.1655        
[90,91]        [237,239]      140735207051584 (ReprojectionError)          288230376151712230 (cLandmark)*         2x3            0.59299        
[92,106]       [0,5]          140735206661088 (IMUError)                   4734976 (cPose)                         15x6           92770.7        
[92,106]       [6,14]         140735206661088 (IMUError)                   576460752308158464 (ImuStates)          15x9           1.63305e+06    
[92,106]       [105,110]      140735206661088 (IMUError)                   1729382256911630336 (gPose)             15x6           92770.7        
[92,106]       [111,119]      140735206661088 (IMUError)                   603482350069006336 (ImuStates)          15x9           1.63305e+06    
[107,108]      [15,20]        140735207069440 (ReprojectionError)*         4866048 (cPose)*                        2x6            12.5627        
